face,script,method,n_truth,n_pred,n_atf,recall,precision,first_err,count_ok,px_per_line,coverage
CBS.14054__reverse,OB,free,6,1,7,0.16666666666666666,nan,nan,False,205.6,0.86
CBS.14054__reverse,OB,comb,6,7,7,0.6666666666666666,nan,nan,True,205.6,0.86
CBS.14054__reverse,OB,dp,6,7,7,0.8333333333333334,nan,nan,True,205.6,0.86
CBS.1422__obverse,OB,free,16,7,12,0.1875,0.42857142857142855,nan,False,288.7,1.33
CBS.1422__obverse,OB,comb,16,12,12,0.25,0.3333333333333333,nan,True,288.7,1.33
CBS.1422__obverse,OB,dp,16,12,12,0.25,0.3333333333333333,nan,True,288.7,1.33
HS.1377.A__obverse,OB,free,5,9,5,1.0,0.5555555555555556,0.8057658789927578,False,123.5,1.0
HS.1377.A__obverse,OB,comb,5,5,5,0.8,0.8,0.7652800490332435,True,123.5,1.0
HS.1377.A__obverse,OB,dp,5,5,5,1.0,1.0,0.26306003193841637,True,123.5,1.0
HS.1377.A__reverse,OB,free,4,7,8,1.0,nan,0.7771259426768982,False,110.9,0.5
HS.1377.A__reverse,OB,comb,4,8,8,1.0,nan,0.7771259426768982,True,110.9,0.5
HS.1377.A__reverse,OB,dp,4,8,8,1.0,nan,0.7681088101250496,True,110.9,0.5
CBS.516__obverse,OB,free,2,6,5,1.0,nan,nan,False,457.7,0.4
CBS.516__obverse,OB,comb,2,5,5,1.0,nan,nan,True,457.7,0.4
CBS.516__obverse,OB,dp,2,5,5,1.0,nan,nan,True,457.7,0.4
HS.1342__obverse,OB,free,15,10,16,0.6666666666666666,1.0,nan,False,148.6,0.94
HS.1342__obverse,OB,comb,15,16,16,0.6666666666666666,0.625,nan,True,148.6,0.94
HS.1342__obverse,OB,dp,15,16,16,0.8,0.75,nan,True,148.6,0.94
HS.1342__reverse,OB,free,14,14,17,0.6428571428571429,nan,0.8348688873139617,False,141.1,0.82
HS.1342__reverse,OB,comb,14,17,17,0.7142857142857143,nan,0.8837703756201275,True,141.1,0.82
HS.1342__reverse,OB,dp,14,17,17,0.7857142857142857,nan,0.8837703756201275,True,141.1,0.82
DT.67__reverse,NA,free,3,5,34,0.3333333333333333,nan,0.06743940990516338,False,94.9,0.09
DT.67__reverse,NA,comb,3,34,34,1.0,nan,1.5226554267650156,True,94.9,0.09
DT.67__reverse,NA,dp,3,34,34,1.0,nan,1.3582718651211798,True,94.9,0.09
HS.2017__obverse,OB,free,6,11,6,1.0,0.5454545454545454,0.6336585365853658,False,102.5,1.0
HS.2017__obverse,OB,comb,6,6,6,1.0,1.0,0.02000000000000011,True,102.5,1.0
HS.2017__obverse,OB,dp,6,6,6,0.8333333333333334,0.8333333333333334,0.21414634146341452,True,102.5,1.0
