face,method,split,n_truth,n_pred,recall,precision,first_err,count_ok,px_per_line
P360849_reverse,comb,test,2,3,0.5,0.3333333333333333,1.0,False,67.0
P360849_reverse,det_n,test,2,3,0.5,0.3333333333333333,0.4525984272575956,False,67.0
P360849_reverse,det,test,2,2,0.5,0.5,0.4525984272575956,True,67.0
P360985_reverse,dp,tune,9,17,0.8888888888888888,0.47058823529411764,0.32323232323232326,False,49.5
P360985_reverse,comb,tune,9,17,0.8888888888888888,0.47058823529411764,0.30303030303030304,False,49.5
P360985_reverse,det_n,tune,9,17,0.0,0.0,2.8091860728621145,False,49.5
P360985_reverse,det,tune,9,6,0.0,0.0,2.8091860728621145,False,49.5
P360999_obverse,dp,tune,16,16,1.0,1.0,0.0,True,54.0
P360999_obverse,comb,tune,16,16,1.0,1.0,0.05555555555555555,True,54.0
P360999_obverse,det_n,tune,16,16,0.5,0.5,2.282855838288907,True,54.0
P360999_obverse,det,tune,16,6,0.3125,0.8333333333333334,2.282855838288907,False,54.0
P361045_obverse,dp,test,13,13,0.9230769230769231,0.9230769230769231,0.4074074074074074,True,54.0
P361045_obverse,comb,test,13,13,0.9230769230769231,0.9230769230769231,0.42592592592592593,True,54.0
P361045_obverse,det_n,test,13,13,0.46153846153846156,0.46153846153846156,1.2530581430495653,True,54.0
P361045_obverse,det,test,13,8,0.5384615384615384,0.875,1.5437285839692065,False,54.0
P361057_obverse,dp,tune,4,4,1.0,1.0,0.0,True,76.0
P361057_obverse,comb,tune,4,4,1.0,1.0,0.027631578947368417,True,76.0
P361057_obverse,det_n,tune,4,4,0.75,0.75,1.378947634961278,True,76.0
P361057_obverse,det,tune,4,3,0.75,1.0,1.378947634961278,False,76.0
P361121_obverse,dp,test,6,22,1.0,0.2727272727272727,0.6013888888888889,False,72.0
P361121_obverse,comb,test,6,22,1.0,0.2727272727272727,0.7805555555555554,False,72.0
P361127_obverse,dp,tune,16,18,0.6875,0.6111111111111112,1.0287836583101206,False,107.69999999999999
P361127_obverse,comb,tune,16,18,0.6875,0.6111111111111112,0.5403899721448469,False,107.69999999999999
P361127_obverse,det_n,tune,16,18,0.875,0.7777777777777778,0.6075291364703415,False,107.69999999999999
P361127_obverse,det,tune,16,15,0.875,0.9333333333333333,0.6075291364703415,False,107.69999999999999
P361149_obverse,dp,test,9,9,1.0,1.0,0.29972752043596734,True,110.1
P361149_obverse,comb,test,9,9,1.0,1.0,0.29064486830154407,True,110.1
P361149_obverse,det_n,test,9,9,0.2222222222222222,0.2222222222222222,0.5687671525021715,True,110.1
P361149_obverse,det,test,9,7,0.1111111111111111,0.14285714285714285,0.5687671525021715,False,110.1
P361171_reverse,dp,test,16,19,0.9375,0.7894736842105263,0.25340599455040835,False,73.40000000000009
