face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P357517_left,left,2,2,0,0.5,0.875,8,0.0,0.792
P357561_left,left,2,2,0,1.0,0.375,8,0.0,0.792
P359272_left,left,2,2,0,0.5,0.875,8,0.0,0.792
P333892_reverse,reverse,14,14,0,0.786,0.65,100,0.058,0.793
P357391_obverse,obverse,6,6,0,0.667,0.75,12,0.039,0.793
P333898_obverse,obverse,13,13,0,0.692,0.778,63,0.089,0.794
P358198_left,left,3,3,0,0.667,0.714,7,0.0,0.794
P358220_obverse,obverse,10,10,0,0.7,0.737,19,0.056,0.794
P358570_left,left,5,5,0,0.6,,4,0.012,0.794
P359058_left,left,5,5,0,0.8,0.593,59,0.012,0.794
P359336_obverse,obverse,5,5,0,0.6,,2,0.012,0.794
P359372_obverse,obverse,6,6,0,0.833,0.571,14,0.023,0.794
P359226_reverse,reverse,4,4,0,1.0,0.4,15,0.014,0.795
P361301_obverse,obverse,15,15,0,0.867,0.569,72,0.052,0.795
P357492_reverse,reverse,15,15,0,0.8,0.641,78,0.054,0.796
P357739_reverse,reverse,6,6,0,0.833,0.593,27,0.039,0.796
P357743_reverse,reverse,8,8,0,0.875,0.571,7,0.059,0.796
